Top  Combinations
------------------
Combination	Error
('FTM_responder_0', 'FTM_responder_9', 'FTM_responder_8')		2.50
('FTM_responder_4', 'FTM_responder_0', 'FTM_responder_2')		3.83
('FTM_responder_2', 'FTM_responder_9', 'FTM_responder_8')		3.94
('FTM_responder_3', 'FTM_responder_9', 'FTM_responder_8')		4.25
('FTM_responder_0', 'FTM_responder_2', 'FTM_responder_9')		4.59
('FTM_responder_0', 'FTM_responder_2', 'FTM_responder_13')		4.77
('FTM_responder_4', 'FTM_responder_0', 'FTM_responder_13')		5.30
('FTM_responder_4', 'FTM_responder_10', 'FTM_responder_9')		5.63
('FTM_responder_4', 'FTM_responder_0', 'FTM_responder_14')		6.20
('FTM_responder_0', 'FTM_responder_9', 'FTM_responder_14')		6.33
('FTM_responder_4', 'FTM_responder_10', 'FTM_responder_7')		6.90
('FTM_responder_0', 'FTM_responder_2', 'FTM_responder_8')		6.91
('FTM_responder_3', 'FTM_responder_0', 'FTM_responder_9')		6.94
('FTM_responder_4', 'FTM_responder_10', 'FTM_responder_8')		7.13
('FTM_responder_4', 'FTM_responder_9', 'FTM_responder_8')		7.25
('FTM_responder_2', 'FTM_responder_9', 'FTM_responder_14')		7.33
('FTM_responder_4', 'FTM_responder_2', 'FTM_responder_14')		7.53
('FTM_responder_3', 'FTM_responder_2', 'FTM_responder_9')		7.54
('FTM_responder_4', 'FTM_responder_3', 'FTM_responder_14')		7.58
('FTM_responder_4', 'FTM_responder_7', 'FTM_responder_9')		7.82
('FTM_responder_3', 'FTM_responder_0', 'FTM_responder_13')		7.93
('FTM_responder_4', 'FTM_responder_3', 'FTM_responder_9')		8.01
('FTM_responder_2', 'FTM_responder_8', 'FTM_responder_13')		8.07
('FTM_responder_0', 'FTM_responder_8', 'FTM_responder_13')		8.58
('FTM_responder_4', 'FTM_responder_7', 'FTM_responder_8')		8.63
('FTM_responder_2', 'FTM_responder_9', 'FTM_responder_13')		8.69
('FTM_responder_4', 'FTM_responder_2', 'FTM_responder_9')		8.74
('FTM_responder_0', 'FTM_responder_9', 'FTM_responder_13')		8.86
('FTM_responder_10', 'FTM_responder_7', 'FTM_responder_9')		8.92
('FTM_responder_7', 'FTM_responder_2', 'FTM_responder_14')		9.05
('FTM_responder_3', 'FTM_responder_14', 'FTM_responder_8')		9.07
('FTM_responder_4', 'FTM_responder_0', 'FTM_responder_9')		9.09
('FTM_responder_3', 'FTM_responder_9', 'FTM_responder_14')		9.11
('FTM_responder_10', 'FTM_responder_3', 'FTM_responder_9')		9.23
('FTM_responder_3', 'FTM_responder_8', 'FTM_responder_13')		9.34
('FTM_responder_10', 'FTM_responder_9', 'FTM_responder_8')		9.45
('FTM_responder_2', 'FTM_responder_14', 'FTM_responder_8')		9.55
('FTM_responder_0', 'FTM_responder_2', 'FTM_responder_14')		9.61
('FTM_responder_10', 'FTM_responder_2', 'FTM_responder_9')		9.68
('FTM_responder_4', 'FTM_responder_10', 'FTM_responder_14')		9.73
